source,date,titre,lien
JournalDuGeek,2026-09-15 17:31:57,Spotify lance la fonctionnalité que tous les parents voulaient : vous pouvez enfin sauver vos playlists en utilisant un simple bouton,https://www.journaldugeek.com/2026/09/15/spotify-lance-la-fonctionnalite-que-tous-les-parents-voulaient-vous-pouvez-enfin-sauver-vos-playlists-en-utilisant-un-simple-bouton/
JournalDuGeek,2026-09-15 17:01:21,"Claude gère déjà votre vie professionnelle, il pourrait aussi s’occuper de vos finances personnelles",https://www.journaldugeek.com/2026/09/15/claude-gere-deja-votre-vie-professionnelle-il-pourrait-aussi-soccuper-de-vos-finances-personnelles/
Frandroid - RSS,2026-09-15 17:00:20,iOS 27 : Apple a caché une icône culte des années 1980 dans votre iPhone,https://www.frandroid.com/produits-android/3248689_apple-ressuscite-clarus-le-dogcow-sa-mascotte-mythique-des-annees-1980-cachee-dans-ios-27
01net,2026-09-15 16:59:26,Garmin s’attaque à la Forerunner 265 : -51 % pour convaincre les sportifs ambitieux,https://www.01net.com/bons-plans/garmin-sattaque-a-la-forerunner-265-51-pour-convaincre-les-sportifs-ambitieux.html
Frandroid - RSS,2026-09-15 16:51:09,iPhone 18 Pro et 18 Pro Max : ce que l’étiquette énergétique européenne révèle qu’Apple ne dit pas,https://www.frandroid.com/marques/apple/3248685_iphone-18-pro-et-18-pro-max-ce-que-letiquette-energetique-europeenne-revele-quapple-ne-dit-pas
LesNumeriques,2026-09-15 16:45:00,Actualité : Sigma 20-60mm F2.8-4 DG : le nouveau zoom ultra polyvalent pour Sony E et L-Mount qui va simplifier vos reportages,https://www.lesnumeriques.com/objectif/sigma-20-60mm-f2-8-4-dg-le-nouveau-zoom-ultra-polyvalent-pour-sony-e-et-l-mount-qui-va-simplifier-vos-reportages-n261825.html
LesNumeriques,2026-09-15 16:40:00,"Actualité : Fujifilm Instax Pal 2 : le minuscule appareil photo revient, plus mignon que jamais et façon ""argentique""",https://www.lesnumeriques.com/appareil-photo-instantane/fujifilm-instax-pal-2-le-minuscule-appareil-photo-revient-plus-mignon-que-jamais-et-facon-argentique-n261879.html
CCM,2026-09-15 16:34:37,Windows 11 : Microsoft doit déjà corriger son dernier Patch Tuesday après une avalanche de bugs,https://www.commentcamarche.net/informatique/windows/38861-mise-a-jour-d-urgence-corrective-pour-bugs-de-windows-11/
JournalDuGeek,2026-09-15 16:32:02,iPhone 18 Pro vs Samsung Galaxy S26 Ultra : lequel remporte la palme du meilleur haut de gamme ?,https://www.journaldugeek.com/dossier/iphone-18-pro-vs-samsung-galaxy-s26-ultra-lequel-remporte-la-palme-du-meilleur-haut-de-gamme/
KultureGeek,2026-09-15 16:30:37,"Dimensity 9600 Pro : MediaTek dévoile sa puce 2 nm avec LPDDR6, UFS 5.0 et IA renforcée",https://kulturegeek.fr/news-359468/dimensity-9600-pro-mediatek-devoile-puce-2-nm-lpddr6-ufs-5-0-ia-renforcee
01net,2026-09-15 16:26:37,"Erreur de prix ou pas, la caméra vlog DJI Osmo Pocket 3 est bel et bien à -57%",https://www.01net.com/bons-plans/erreur-de-prix-ou-pas-la-camera-vlog-dji-osmo-pocket-3-est-bel-et-bien-a-57.html
Frandroid - RSS,2026-09-15 16:16:51,Le guide ultime du cycliste 2.0 : bien équiper son vélo électrique en 2026,https://www.frandroid.com/guide-dachat/731977_guide-dachat-accessoires-securite-velo
Frandroid - RSS,2026-09-15 16:16:19,iPhone mis à jour ? Voici les réglages iOS 27 à changer tout de suite,https://www.frandroid.com/os/ios/3248623_iphone-mis-a-jour-voici-les-reglages-ios-27-a-changer-tout-de-suite
LesNumeriques,2026-09-15 16:03:33,Actualité : Cet ordinateur tout-en-un présente le meilleur rapport qualité / prix de notre comparatif,https://www.lesnumeriques.com/ordinateur-tout-en-un/cet-ordinateur-tout-en-un-presente-le-meilleur-rapport-qualite-prix-de-notre-comparatif-n261877.html
JournalDuGeek,2026-09-15 16:03:26,"Realme a une belle surprise pour les fans de Harry Potter, mais il y a un problème",https://www.journaldugeek.com/2026/09/15/realme-a-une-belle-surprise-pour-les-fans-de-harry-potter-mais-il-y-a-un-probleme/
KultureGeek,2026-09-15 16:00:51,Yamaha B200A : une barre de son Dolby Atmos compacte pensée pour les petits espaces,https://kulturegeek.fr/news-359465/yamaha-b200a-barre-dolby-atmos-compacte-pensee-petits-espaces
Frandroid - RSS,2026-09-15 16:00:01,"À moins de 450 €, ce VAE avec 100 km d’autonomie est idéal pour les citadins au budget serré",https://www.frandroid.com/bons-plans/3213683_a-moins-de-450-euros-ce-vae-avec-100-km-dautonomie-est-ideal-pour-les-citadins-au-budget-serre
01net,2026-09-15 15:51:34,Le Redmi Note 15 Pro chute à -41% : le best-seller de Xiaomi devient irrésistible,https://www.01net.com/bons-plans/le-redmi-note-15-pro-chute-a-41-le-best-seller-de-xiaomi-devient-irresistible.html
Numerama,2026-09-15 15:49:00,"Harry Potter : bandes-annonces, casting complet, tout savoir sur la série de HBO",https://www.numerama.com/pop-culture/1337516-harry-potter-premiere-image-casting-date-de-sortie-tout-savoir-sur-la-serie-de-hbo.html
Korben,2026-09-15 15:43:58,Test d'une batterie externe et dock magnétique Antank pour Nintendo Switch 2,https://korben.info/test-dune-batterie-externe-et-dock-magentique-antank-pour-nintendo-switch-2.html?utm_source=rss&utm_medium=feed&utm_campaign=flux-principal
JournalDuGeek,2026-09-15 15:32:35,"Fallout 76 arrive sur PS5 et Xbox Series X/S, voici comment le récupérer gratuitement",https://www.journaldugeek.com/2026/09/15/fallout-76-arrive-sur-ps5-et-xbox-series-x-s-voici-comment-le-recuperer-gratuitement/
LesNumeriques,2026-09-15 15:32:00,Actualité : Comment savoir qui est connecté à mon réseau Wi-Fi domestique : simple et rapide,https://www.lesnumeriques.com/informatique/comment-savoir-qui-est-connecte-a-mon-reseau-wi-fi-domestique-simple-et-rapide-n261865.html
Frandroid - RSS,2026-09-15 15:29:29,"Les premiers câbles HDMI 2.2 de 96 Gbps arrivent en vente, mais ils ne servent à rien",https://www.frandroid.com/produits-android/3248495_les-premiers-cables-hdmi-2-2-de-96-gbps-arrivent-en-vente-mais-ils-ne-servent-a-rien
Numerama,2026-09-15 15:28:39,Cartes Pokémon 30ᵉ anniversaire : tous les liens pour précommander les premiers coffrets de l’extension,https://www.numerama.com/pop-culture/2293233-cartes-pokemon-30%e1%b5%89-anniversaire-tous-les-liens-pour-precommander-les-premiers-coffrets-de-lextension.html
KultureGeek,2026-09-15 15:22:29,Einride et Lidl lancent un camion autonome sans cabine sur route publique,https://kulturegeek.fr/news-359453/einride-lidl-camion-autonome-cabine-route-publique
01net,2026-09-15 15:15:55,Samsung vide le stock de Galaxy A56 : -50% sur la version 256 Go lors d’une vente flash,https://www.01net.com/bons-plans/samsung-vide-le-stock-de-galaxy-a56-50-sur-la-version-256-go-lors-dune-vente-flash.html
LesNumeriques,2026-09-15 15:15:00,"Caméra Arlo Pro 6 Verisure : caractéristiques, prix, et avis",https://www.lesnumeriques.com/camera-surveillance/camera-arlo-pro-6-verisure-caracteristiques-prix-et-avis-na259682.html
TomsHardware,2026-09-15 15:12:00,Apple A20 Pro vs MediaTek Dimensity 9600 Pro : quelle puce offre les meilleures performances ?,https://www.tomshardware.fr/apple-a20-pro-vs-mediatek-dimensity-9600-pro-quelle-puce-offre-les-meilleures-performances/
LesNumeriques,2026-09-15 15:05:00,Actualité : HP devance Nvidia et lâche le prix de son premier PC portable RTX Spark avant de se raviser,https://www.lesnumeriques.com/ordinateur-portable/hp-devance-nvidia-et-lache-le-prix-de-son-premier-pc-portable-rtx-spark-n261873.html
Numerama,2026-09-15 15:03:00,Discord est tombé en panne : voici ce que l’on sait,https://www.numerama.com/tech/2333537-discord-est-victime-dune-grosse-panne-ce-mardi-15-septembre-2026.html
JournalDuGeek,2026-09-15 15:02:57,Un physicien démontre que la fameuse « manœuvre de Picard » dans Star Trek respecte bien les lois de la relativité,https://www.journaldugeek.com/2026/09/15/physicien-demontre-fameuse-manoeuvre-de-picard-star-trek-respecte-lois-relativite/
Frandroid - RSS,2026-09-15 15:02:07,"Ce forfait mobile vient d’un opérateur discret, et il n’a pourtant rien à envier aux grandes marques",https://www.frandroid.com/bons-plans/3248391_ce-forfait-mobile-vient-dun-operateur-discret-et-il-na-pourtant-rien-a-envier-aux-grandes-marques
KultureGeek,2026-09-15 14:59:29,[#BonPlan] Les promos High-Tech du 15 septembre,https://kulturegeek.fr/news-359463/frenchdays-promos-high-tech-15-septembre-2026
LesNumeriques,2026-09-15 14:52:00,Actualité : Dimensity 9600 Pro : MediaTek dégaine sa puce 2 nm avec les iPhone 18 Pro dans le viseur,https://www.lesnumeriques.com/telephone-portable/dimensity-9600-pro-mediatek-degaine-sa-puce-2-nm-avec-les-iphone-18-pro-dans-le-viseur-n261871.html
KultureGeek,2026-09-15 14:46:02,Voicemod Key Pocket change la voix en direct sur mobile et console,https://kulturegeek.fr/news-359455/voicemod-key-pocket-change-voix-direct-mobile-console
Numerama,2026-09-15 14:39:00,"Le remake du premier Tomb Raider a dû repartir de zéro, le code original ayant disparu",https://www.numerama.com/pop-culture/2333497-le-remake-du-premier-tomb-raider-a-du-repartir-de-zero-le-code-original-ayant-disparu.html
Numerama,2026-09-15 14:36:09,"Far Cry : date de sortie, histoire, casting, tout savoir sur la série TV à venir",https://www.numerama.com/pop-culture/2333509-far-cry-date-de-sortie-histoire-casting-tout-savoir-sur-la-serie-tv-a-venir.html
Frandroid - RSS,2026-09-15 14:35:36,"MSI confirme qu’une Claw 8 moins puissante… mais aussi moins chère, est bien en route",https://www.frandroid.com/marques/msi/3247861_msi-confirme-quune-claw-8-moins-puissante-mais-aussi-moins-chere-est-bien-en-route
KultureGeek,2026-09-15 14:30:34,"Skyrim accueille KALLAX Storageborn, l’improbable mod IKEA dédié au rangement",https://kulturegeek.fr/news-359445/skyrim-accueille-kallax-storageborn-limprobable-mod-ikea-dedie-rangement
01net,2026-09-15 14:29:37,AirPods : Apple fait le service minimum avec son égaliseur dans iOS 27,https://www.01net.com/actualites/airpods-apple-fait-le-service-minimum-avec-son-egaliseur-dans-ios-27.html
JournalDuGeek,2026-09-15 14:27:36,Les 2 versions abordables de l’iPhone 18 Pro arriveraient bien au printemps 2027,https://www.journaldugeek.com/2026/09/15/les-2-versions-abordables-de-liphone-18-pro-arriveraient-bien-au-printemps-2027/
Frandroid - RSS,2026-09-15 14:25:29,OpenAI s’offre les ingénieurs à l’origine du mode Portrait de l’iPhone,https://www.frandroid.com/marques/openai/3248201_openai-soffre-les-ingenieurs-a-lorigine-du-mode-portrait-de-liphone
Frandroid - RSS,2026-09-15 14:23:50,"Apple intègre Apple TV et Arcade sans surcoût dans iCloud+, mais pas en France",https://www.frandroid.com/marques/apple/3248339_apple-integre-apple-tv-et-arcade-sans-surcout-dans-icloud-mais-pas-en-france
NextInpact,2026-09-15 14:16:00,"Oui, Anthropic et OpenAI peuvent lire vos conversations, et depuis longtemps",https://next.ink/256350/oui-anthropic-et-openai-peuvent-lire-vos-conversations-et-depuis-longtemps/
Frandroid - RSS,2026-09-15 14:12:00,"Puce M5 Max, 36 Go, SSD 2 To : ce MacBook Pro 16, un monstre de puissance pour les pros, profite d’une remise de 600 €",https://www.frandroid.com/bons-plans/3248197_puce-m5-max-36-go-ssd-2-to-ce-macbook-pro-16-un-monstre-de-puissance-pour-les-pros-profite-dune-remise-de-600-e
Frandroid - Actualités,2026-09-15 14:09:58,Le Sony Xperia 1 IX pourrait intégrer un nouveau capteur photo après 3 ans sans évolution,https://www.frandroid.com/marques/sony/3248203_le-sony-xperia-1-ix-pourrait-integrer-un-nouveau-capteur-photo-apres-3-ans-sans-evolution
JournalDuGeek,2026-09-15 14:02:19,"Pendant dix ans, des astronomes ont cru qu’une étoile allait exploser : la vérité est bien plus étrange",https://www.journaldugeek.com/2026/09/15/pendant-dix-ans-astronomes-quune-etoile-allait-exploser-verite-plus-etrange/
01net,2026-09-15 14:00:16,Cet aspirateur laveur avec fonction Steam chute à -65% : des sols propres sans forcer,https://www.01net.com/bons-plans/cet-aspirateur-laveur-avec-fonction-steam-chute-a-65-des-sols-propres-sans-forcer.html
LesNumeriques,2026-09-15 14:00:00,Actualité : IONOS Essential : une base web complète pour lancer un projet de rentrée,https://www.lesnumeriques.com/appli-logiciel/ionos-essential-une-base-web-complete-pour-lancer-un-projet-de-rentree-n261557.html
LesNumeriques,2026-09-15 13:58:00,"Actualité : Google Maps : limitations et compteur de vitesse s’affichent en permanence sur Android Auto, mais les bugs persistent",https://www.lesnumeriques.com/gps/google-maps-limitations-et-compteur-de-vitesse-s-affichent-en-permanence-sur-android-auto-mais-les-bugs-persistent-n261870.html
CCM,2026-09-15 13:56:22,SFR Fibre Sobriété : une nouvelle offre écolo sans décodeur et avec une box reconditionnée,https://www.commentcamarche.net/maison/box-connexion-internet/38857-sfr-fibre-sobriete/
Korben,2026-09-15 13:53:18,Suyu tire sa révérence sur un mode de recompilation pour jeux Switch,https://korben.info/suyu-recompilation-statique-emulation-switch.html?utm_source=rss&utm_medium=feed&utm_campaign=flux-principal
Frandroid - Actualités,2026-09-15 13:49:22,"Orange va fermer un service historique en 2027, c’est officiel",https://www.frandroid.com/marques/orange/3248267_orange-va-fermer-un-service-historique-en-2027-cest-officiel
Frandroid - Actualités,2026-09-15 13:48:40,Une autonomie XXL vendue à prix d’or : pourquoi le nouveau Volvo XC60 hybride n’a aucun sens face au EX60 électrique,https://www.frandroid.com/marques/volvo/3247933_une-autonomie-xxl-vendue-a-prix-dor-pourquoi-le-nouveau-volvo-xc60-hybride-na-aucun-sens-face-au-ex60-electrique
01net,2026-09-15 13:48:26,Spotify lance une fonction que toute l’industrie du streaming devrait adopter,https://www.01net.com/actualites/spotify-lance-une-fonction-que-toute-lindustrie-du-streaming-devrait-adopter.html
Numerama,2026-09-15 13:45:03,"Grâce à une manœuvre parfaite, le télescope Roman de la Nasa vient de gagner des années de vie",https://www.numerama.com/sciences/2333179-grace-a-une-manoeuvre-parfaite-le-telescope-roman-de-la-nasa-vient-de-gagner-des-annees-de-vie.html
NextInpact,2026-09-15 13:45:00,"Les patrons de l’IA appellent à lever le pied, leurs dépenses disent l’inverse",https://next.ink/256202/les-patrons-de-lia-appellent-a-lever-le-pied-leurs-depenses-disent-linverse/
Frandroid - Actualités,2026-09-15 13:41:14,"Mon MacBook a planté après la mise à jour macOS 27, un autre Mac l’a réparé",https://www.frandroid.com/marques/apple/3248253_mon-macbook-a-plante-apres-la-mise-a-jour-macos-27-un-autre-mac-la-repare
LesNumeriques,2026-09-15 13:33:00,Actualité : La dernière mise à jour du Raspberry Pi OS apporte le dock que tout le monde attendait,https://www.lesnumeriques.com/appli-logiciel/la-derniere-mise-a-jour-du-raspberry-pi-os-apporte-le-dock-que-tout-le-monde-attendait-n261868.html
Frandroid - Actualités,2026-09-15 13:29:34,MediaTek dévoile le Dimensity 9600 Pro : la première puce en 2 nm pour Android,https://www.frandroid.com/produits-android/3248283_mediatek-devoile-le-dimensity-9600-pro-la-premiere-puce-en-2-nm-pour-android
Numerama,2026-09-15 13:29:04,"Bouygues fait tomber la PS5 à 101 € aujourd’hui (ou 1 €, mais sous conditions)",https://www.numerama.com/tech/2333427-bouygues-fait-tomber-la-ps5-a-101-e-aujourdhui-ou-1-e-mais-sous-conditions.html
Korben,2026-09-15 13:28:51,CUDA-for-AMD-Windows - Le .exe NVIDIA pour votre Radeon,https://korben.info/zluda-hip-cuda-radeon-windows.html?utm_source=rss&utm_medium=feed&utm_campaign=flux-principal
NextInpact,2026-09-15 13:25:47,☕️ Apple intègre TV et Arcade à iCloud+ dans les marchés émergents,https://next.ink/brief-article/apple-integre-tv-et-arcade-a-icloud-dans-les-marches-emergents/
Frandroid - Actualités,2026-09-15 13:22:48,"HP casse le prix de son laptop gamer avec RTX 5090, 64 Go de RAM et 2 To de SSD",https://www.frandroid.com/bons-plans/3248021_hp-casse-le-prix-de-son-laptop-gamer-avec-rtx-5090-64-go-de-ram-et-2-to-de-ssd
KultureGeek,2026-09-15 13:17:45,007 First Light : le jeu James Bond est repoussé à 2027 sur Switch 2,https://kulturegeek.fr/news-359446/007-first-light-jeu-james-bond-repousse-2027-switch-2
Korben,2026-09-15 13:13:09,OpenDisplay - Étendre l'affichage Mac avec ce que vous avez sous la main,https://korben.info/opendisplay-ecran-secondaire-iphone-ipad-mac.html?utm_source=rss&utm_medium=feed&utm_campaign=flux-principal
JournalDuGeek,2026-09-15 13:12:47,Le boycott de PlayStation à la fin du mois d’août fut un énorme flop,https://www.journaldugeek.com/2026/09/15/le-boycott-de-playstation-a-la-fin-du-mois-daout-fut-un-enorme-flop/
Numerama,2026-09-15 13:11:45,"Piraté, le compte officiel de HBO Max a servi à diffuser des malwares sur Reddit",https://www.numerama.com/cyberguerre/2333429-pirate-le-compte-officiel-de-hbo-max-a-servi-a-diffuser-des-malwares-sur-reddit.html
LesNumeriques,2026-09-15 13:10:33,"Actualité : Pour un bon sac photo à prix abordable, privilégiez...",https://www.lesnumeriques.com/sac-photo/pour-un-bon-sac-photo-a-prix-abordable-privilegiez-n261867.html
